Date,Sum of Produce
Mar-12,25151525.84
Apr-12,24406048.39
May-12,28249539.01
Jun-12,28691364.32
Jul-12,28535707.45
Aug-12,25793520.64
Sep-12,21915641.66
Oct-12,21203562.52
Nov-12,21736158.96
Dec-12,21962976.75
Jan-13,20322683.64
Feb-13,19829620.75
Mar-13,22717069.85
Apr-13,21625385.04
May-13,23000152.4
Jun-13,24755406.2
Jul-13,26803105.56
Aug-13,22600217.01
Sep-13,21401265.74
Oct-13,19296578.09
Nov-13,20489773.49
Dec-13,21715706.67
Jan-14,22544458.38
Feb-14,21262413.12
Mar-14,23247168.62
Apr-14,22541987.92
May-14,25943046.75
Jun-14,24782178.43
Jul-14,24263117.59
Aug-14,21879988.86
Sep-14,18407263.58
Oct-14,19497571.95
Nov-14,19444753.17
Dec-14,19240384.75
Jan-15,20088529.29
Feb-15,19772333.34
Mar-15,24608406.71
Apr-15,21559729.45
May-15,25792074.59
Jun-15,27212464.15
Jul-15,26338477.15
Aug-15,23130626.6
Sep-15,20774415.93
Oct-15,20359980.58
Nov-15,21936906.81
Dec-15,20462899.3
